Unnamed: 0,Composition,ElemSortAMU,GBTPredict,AWEMLPredict,lnPeqo,dH,dS,Al,Ti,V,Cr,Zr,Nb,Mo,Pd,Hf,Ta
12,Al1 Cr1 Zr1 Hf1,AlCrZrHf,SS,SS,-11.1938470138625,53.4473432893329,90.1458205395936,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0
13,Al1 Cr1 Ti1 Mo1,AlTiCrMo,SS+IM,IM,-1.78255373458121,32.8196701059775,86.7621734685023,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0
14,Al1 Cr1 Ti1 V1,AlTiVCr,IM,SS,-1.96353985267238,40.7838050945932,122.856793964234,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
15,Al1 Cr1 Ti1 Pd1,AlTiCrPd,SS+IM,SS,-2.80133727398817,39.9721830860417,114.797511144035,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0
16,Al1 Cr1 Ti1 Nb1,AlTiCrNb,SS+IM,SS+IM,-2.94018748077699,41.3834737523436,97.501494869973,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
17,Al1 Cr1 Ti1 Hf1,AlTiCrHf,SS,SS,-9.16381862607882,53.1887677006966,90.4784811800833,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0
18,Al1 Cr1 Mo1 V1,AlVCrMo,IM,IM,-1.195666939328,27.3494133556044,83.6230476455432,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0
19,Al1 Cr1 Mo1 Pd1,AlCrMoPd,SS+IM,IM,-3.17735169385178,32.5917446174319,81.0826071644742,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0
20,Al1 Cr1 Mo1 Nb1,AlCrNbMo,SS,IM,-1.88549929400599,29.8400179482076,82.7850369796687,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0
21,Al1 Cr1 Mo1 Hf1,AlCrMoHf,SS,SS,-4.49732334396108,33.658078367962,87.4793654845854,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0
22,Al1 Cr1 V1 Pd1,AlVCrPd,SS+IM,SS,-2.08415026008671,36.4984081533372,112.882370741408,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
23,Al1 Cr1 V1 Nb1,AlVCrNb,SS+IM,IM,-1.59217157920011,32.4770841934169,89.2373378477756,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
24,Al1 Cr1 V1 Hf1,AlVCrHf,SS,SS,-6.28840178603296,45.8844773798091,88.7667570581413,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
25,Al1 Cr1 Pd1 Nb1,AlCrNbPd,SS+IM,SS,-3.36456662860949,38.3126601757796,90.3140113038123,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
